SAH_ID;CUS_ID;SAH_TIMESTAMP;STO_ID;SAH_POSNUM;SAH_TRXNUM;SAH_TOTPRODQTY;SAH_DOCTYPE;SAH_PAYMENTTYPE;SAH_TOTPRODAMT;SAH_TOTTAX1AMT;SAH_TOTTAX2AMT
99;72929;2021-01-02 15:29:12;436;5;99;1;2;2;2240;425;268
100;73497;2021-01-02 19:31:21;87;8;100;2;1;1;10747;2041;0
101;21874;2021-01-02 20:27:54;304;5;101;1;1;3;2261;429;0
102;71629;2021-01-02 21:18:02;92;2;102;5;1;2;30272;5749;0
103;21523;2021-01-02 21:20:08;464;2;103;3;1;2;19584;3719;0
104;55519;2021-01-02 10:27:19;386;7;104;1;1;1;9756;1853;0
105;67385;2021-01-02 12:04:06;23;4;105;3;1;3;16004;3039;0
106;22439;2021-01-02 18:12:22;46;10;106;3;2;2;68246;12965;0
107;10839;2021-01-02 19:01:20;450;2;107;1;1;2;2162;410;259
108;40345;2021-01-02 21:21:45;440;4;108;3;2;1;12273;2330;0
109;76172;2021-01-02 11:53:49;269;7;109;5;2;1;41611;7904;0
110;70943;2021-01-02 09:48:15;30;1;110;3;2;2;12586;2389;176
111;44233;2021-01-02 17:45:53;8;1;111;3;2;3;14493;2752;0
112;21992;2021-01-02 11:25:35;498;5;112;3;1;1;43138;8195;714
113;22459;2021-01-02 15:28:25;365;3;113;6;1;3;73155;13897;114
114;52509;2021-01-02 11:22:54;421;3;114;5;2;2;19425;3688;0
115;16720;2021-01-02 10:30:46;162;4;115;9;2;2;67208;12766;2243
116;2147;2021-01-02 21:04:19;399;2;116;7;1;2;26539;5039;0
117;13531;2021-01-02 12:28:14;146;4;117;2;2;1;5489;1042;0
118;57621;2021-01-02 17:13:01;199;2;118;2;2;3;14676;2788;0
119;27541;2021-01-02 15:38:32;416;3;119;2;2;3;17024;3233;0
120;14732;2021-01-02 13:30:37;47;1;120;2;2;1;9704;1843;0
121;39416;2021-01-02 13:52:34;374;4;121;5;2;2;33242;6313;0
122;14464;2021-01-02 14:35:04;393;1;122;1;1;2;698;132;0
123;47380;2021-01-02 13:34:11;352;5;123;7;2;3;76207;14476;0
124;18849;2021-01-02 20:30:46;145;10;124;9;1;2;76255;14483;0
125;70883;2021-01-02 17:03:46;455;4;125;7;2;1;41139;7814;1344
126;88822;2021-01-02 10:56:30;251;4;126;1;2;3;31784;6038;0
127;48361;2021-01-02 15:53:10;30;6;127;2;2;3;5672;1077;0
128;93481;2021-01-02 09:51:22;134;2;128;1;1;2;11748;2232;0
129;90459;2021-01-02 16:05:00;414;2;129;1;2;1;3990;758;478
130;83383;2021-01-02 16:44:17;223;5;130;4;2;1;33562;6375;0
131;68646;2021-01-02 18:42:36;265;8;131;5;2;1;57030;10833;1794
132;61859;2021-01-02 14:24:37;31;2;132;1;2;2;26169;4972;0
133;7442;2021-01-02 15:00:15;72;3;133;1;2;3;1810;343;0
134;23638;2021-01-02 11:47:23;191;7;134;8;1;3;103006;19567;0
135;43849;2021-01-02 19:29:56;385;1;135;9;2;1;64877;12323;0
136;32503;2021-01-02 19:45:33;129;4;136;5;1;1;40973;7783;2139
137;73429;2021-01-02 16:29:39;122;1;137;3;1;3;48114;9140;0
138;74367;2021-01-02 15:58:50;374;3;138;1;2;1;1970;374;0
139;57508;2021-01-02 10:13:44;246;6;139;1;2;3;6952;1320;0
140;3005;2021-01-02 19:49:18;411;6;140;2;1;3;20096;3817;0
141;59385;2021-01-02 12:57:05;25;3;141;5;1;2;27473;5218;339
142;43724;2021-01-02 20:53:31;34;4;142;1;1;3;28440;5403;0
143;4211;2021-01-02 10:42:50;380;3;143;4;2;2;55997;10638;0
144;80944;2021-01-02 20:30:50;322;2;144;7;2;1;32470;6166;654
145;11496;2021-01-02 12:15:24;488;5;145;2;2;2;8004;1520;382
146;21211;2021-01-02 20:14:44;469;4;146;10;1;2;95981;18232;0
147;82789;2021-01-02 15:48:27;133;1;147;9;2;3;54588;10367;0
148;95598;2021-01-02 12:13:13;87;3;148;3;2;3;7959;1511;0
149;24461;2021-01-02 16:05:54;130;6;149;2;1;2;11911;2262;0
150;51864;2021-01-02 17:56:45;444;3;150;3;2;2;10402;1975;0
151;19271;2021-01-02 09:49:01;475;3;151;3;1;1;32998;6268;0
152;96342;2021-01-02 19:27:07;167;7;152;3;1;3;28954;5499;0
153;50732;2021-01-02 20:45:05;442;1;153;1;2;2;13248;2517;0
154;86474;2021-01-02 13:28:11;169;5;154;5;1;1;47889;9096;0
155;5320;2021-01-02 17:40:47;499;6;155;7;2;3;64907;12329;0
156;32521;2021-01-02 16:26:11;438;2;156;3;2;1;36149;6868;0
157;91848;2021-01-02 19:12:15;132;2;157;7;1;1;37012;7028;0
158;18906;2021-01-02 08:40:17;28;11;158;1;2;2;2915;553;0
159;55776;2021-01-02 19:58:15;46;2;159;2;1;1;13668;2596;0
160;17554;2021-01-02 16:24:42;344;1;160;5;2;2;24265;4608;0
161;89518;2021-01-02 13:31:23;382;2;161;3;2;3;11235;2133;709
162;43416;2021-01-02 18:32:38;298;1;162;6;1;1;22443;4261;0
163;57034;2021-01-02 21:12:14;263;1;163;7;2;1;34939;6635;24
164;62555;2021-01-02 08:58:58;300;2;164;1;1;1;18207;3459;0
165;8449;2021-01-02 09:05:08;150;9;165;1;2;1;1076;204;0
166;18676;2021-01-02 14:37:12;302;2;166;7;2;3;102000;19378;0
167;69933;2021-01-02 16:34:23;75;6;167;2;2;1;8703;1653;0
168;32407;2021-01-02 12:42:24;290;9;168;1;1;2;11583;2200;0
169;20001;2021-01-02 17:54:43;289;5;169;1;1;2;10020;1903;1002
170;73016;2021-01-02 15:46:35;19;1;170;5;2;1;28911;5490;124
171;50562;2021-01-02 18:32:51;458;1;171;1;1;2;9850;1871;985
172;65464;2021-01-02 14:13:30;188;8;172;2;1;2;21099;4008;0
173;61654;2021-01-02 19:04:39;309;1;173;2;1;3;18700;3552;0
174;95716;2021-01-02 15:06:01;125;6;174;1;2;3;583;110;0
175;43219;2021-01-02 19:08:09;361;2;175;4;1;2;22962;4360;0
176;44565;2021-01-02 13:40:23;428;9;176;1;2;1;15768;2995;0
177;10703;2021-01-02 18:17:09;364;2;177;3;1;1;18858;3581;0
178;85441;2021-01-02 13:03:14;132;2;178;8;1;1;54793;10408;0
179;92022;2021-01-02 19:47:02;473;5;179;2;1;3;48586;9230;0
180;1739;2021-01-02 16:05:39;204;1;180;5;1;2;34938;6635;0
181;20317;2021-01-02 08:52:10;355;6;181;3;2;2;23213;4409;0
182;56521;2021-01-02 08:40:58;291;4;182;2;1;3;7537;1431;0
183;97140;2021-01-02 13:43:08;324;3;183;1;2;1;9035;1716;0
184;20808;2021-01-02 16:13:18;256;1;184;2;1;1;13841;2629;0
185;10204;2021-01-02 13:09:53;244;2;185;3;2;1;56601;10753;0
186;52282;2021-01-02 10:13:52;247;4;186;2;1;3;5288;1003;0
187;33023;2021-01-02 12:00:01;235;1;187;1;2;2;2478;470;0
188;8118;2021-01-02 18:52:01;25;1;188;4;1;2;29774;5655;0
189;10766;2021-01-02 15:06:43;3;1;189;3;1;3;30730;5837;0
190;12996;2021-01-02 14:56:54;269;1;190;4;2;1;55611;10565;0
191;672;2021-01-02 19:21:33;66;1;191;4;2;2;70702;13431;0
192;64714;2021-01-02 09:50:27;228;1;192;1;2;1;545;103;0
193;37041;2021-01-02 16:35:12;25;11;193;2;1;1;5946;1128;0
194;84308;2021-01-02 12:59:39;395;1;194;6;1;1;55198;10485;0
195;92084;2021-01-02 12:06:00;142;1;195;3;1;3;11594;2201;0
196;13932;2021-01-02 13:54:54;101;3;196;7;2;2;126389;24009;0
197;99875;2021-01-02 17:20:40;324;4;197;5;1;1;28493;5411;535
198;50356;2021-01-02 17:55:58;484;5;198;5;2;1;56509;10733;0
199;9784;2021-01-02 20:49:06;375;4;199;2;2;3;8112;1541;0
200;80824;2021-01-02 20:57:07;254;1;200;3;1;1;7892;1498;0
201;53400;2021-01-02 20:04:00;476;1;201;1;2;2;3806;723;0
202;50177;2021-01-02 20:32:26;203;6;202;2;2;1;12114;2300;0
203;19493;2021-01-02 09:02:38;488;3;203;3;1;1;8298;1575;554
204;78047;2021-01-02 12:12:48;291;7;204;5;1;1;84911;16130;0
205;23691;2021-01-02 16:50:19;479;2;205;1;2;1;6116;1162;0
206;76750;2021-01-02 18:10:46;64;11;206;1;2;2;2033;386;0
207;19712;2021-01-02 13:14:15;115;1;207;7;1;1;37739;7168;0
208;40869;2021-01-02 17:56:32;256;1;208;3;1;2;28337;5383;0
209;30014;2021-01-02 12:01:34;259;11;209;2;2;3;8655;1644;0
210;62290;2021-01-02 12:35:50;219;1;210;1;1;1;3333;633;0
211;15413;2021-01-02 21:24:23;305;8;211;4;2;3;64036;12165;0
212;95562;2021-01-02 11:28:35;141;8;212;1;1;2;30327;5762;0
213;44112;2021-01-02 21:04:40;390;1;213;5;1;3;100933;19174;0
214;11863;2021-01-02 13:53:00;386;6;214;8;1;1;103724;19703;0
215;15339;2021-01-02 18:35:55;69;1;215;3;2;1;28701;5452;0
216;73837;2021-01-02 14:01:37;342;1;216;2;1;2;18744;3561;0
217;36003;2021-01-02 16:07:11;457;5;217;2;1;2;18694;3551;0
218;44938;2021-01-02 18:03:36;193;4;218;4;1;2;47096;8946;0
219;86636;2021-01-02 14:24:06;185;3;219;3;1;1;43802;8321;0
220;19903;2021-01-02 18:52:19;248;2;220;1;2;2;2517;478;0
221;59871;2021-01-02 14:22:13;322;4;221;1;1;1;5382;1022;0
222;19648;2021-01-02 18:51:38;222;1;222;1;1;1;1168;221;0
223;12619;2021-01-02 08:58:02;31;3;223;6;1;1;47189;8964;61
224;86629;2021-01-02 18:39:34;372;3;224;2;2;3;7944;1509;605
225;21064;2021-01-02 13:37:21;453;4;225;6;2;1;37297;7083;0
226;72541;2021-01-02 09:34:11;305;3;226;4;2;3;48674;9246;0
227;11656;2021-01-02 13:10:17;123;6;227;3;1;1;14752;2802;0
228;5140;2021-01-02 14:58:18;474;9;228;1;2;3;12777;2427;0
229;91548;2021-01-02 12:48:44;391;6;229;1;1;3;9240;1755;0
230;36123;2021-01-02 13:20:48;374;4;230;9;2;3;124867;23720;0
231;83000;2021-01-02 18:03:06;16;1;231;5;1;3;45909;8719;1371
232;30017;2021-01-02 10:01:21;283;1;232;3;2;2;20730;3937;0
233;27089;2021-01-02 11:45:56;246;3;233;5;2;2;24994;4746;438
234;94455;2021-01-02 17:59:42;308;3;234;1;1;1;965;183;0
235;33923;2021-01-02 14:29:34;247;4;235;11;2;3;76791;14586;690
236;66331;2021-01-02 11:43:32;148;3;236;6;2;1;41658;7912;0
237;36099;2021-01-02 17:52:43;358;1;237;1;2;3;31955;6071;0
238;53960;2021-01-02 18:19:25;329;4;238;3;2;2;25868;4913;0
239;48399;2021-01-02 11:41:41;385;3;239;2;1;2;31115;5911;2375
240;8427;2021-01-02 13:19:06;160;4;240;3;2;3;53502;10164;0
241;41481;2021-01-02 17:22:46;46;7;241;1;1;1;10484;1991;0
242;12766;2021-01-02 16:19:55;16;2;242;2;1;3;8839;1678;0
243;58933;2021-01-02 13:31:51;204;6;243;1;2;1;12938;2458;0
244;68000;2021-01-02 13:42:35;136;2;244;2;2;2;13802;2622;0
245;88369;2021-01-02 19:56:33;101;3;245;1;2;2;16670;3167;0
246;10901;2021-01-02 11:16:50;453;4;246;5;2;1;65739;12488;0
247;76062;2021-01-02 20:29:52;414;2;247;1;1;2;37296;7086;0
248;38815;2021-01-02 13:35:23;371;1;248;4;1;2;23818;4523;0
249;88283;2021-01-02 12:55:20;108;3;249;2;2;3;27171;5162;2143
250;55333;2021-01-02 09:03:54;432;3;250;1;2;3;11937;2268;0
251;94746;2021-01-02 16:51:39;77;4;251;4;2;2;7883;1496;534
252;26279;2021-01-02 16:57:43;240;3;252;5;1;1;46436;8820;0
253;93695;2021-01-02 12:42:47;34;3;253;1;1;1;3112;591;0
254;62615;2021-01-02 14:08:34;370;1;254;2;1;3;6672;1267;0
255;45878;2021-01-02 09:25:36;380;9;255;6;1;2;37335;7090;0
256;63345;2021-01-02 21:20:59;171;3;256;2;1;3;14648;2783;0
257;39163;2021-01-02 16:58:30;303;8;257;1;2;3;1370;260;205
258;72272;2021-01-02 13:32:49;344;1;258;3;2;2;15468;2937;0
259;35062;2021-01-02 16:09:30;429;6;259;1;2;1;27352;5196;0
260;88651;2021-01-02 15:10:54;63;1;260;7;2;1;50880;9664;0
261;95086;2021-01-02 11:44:51;448;2;261;5;2;2;29449;5592;723
262;21229;2021-01-02 08:51:32;391;3;262;5;1;2;34934;6635;0
263;1166;2021-01-02 20:42:56;56;3;263;1;1;2;7044;1338;0
264;46253;2021-01-02 18:30:40;320;1;264;4;1;1;30540;5800;0
265;99402;2021-01-02 12:20:32;386;3;265;7;2;3;62812;11932;0
266;76658;2021-01-02 18:42:24;472;1;266;1;1;3;2246;426;0
267;40512;2021-01-02 13:45:44;336;1;267;4;1;3;18834;3576;0
268;42337;2021-01-02 11:20:38;66;2;268;1;1;3;1264;240;0
269;30062;2021-01-02 17:02:58;118;1;269;4;1;1;23958;4550;0
270;22855;2021-01-02 12:26:51;211;6;270;2;1;1;14974;2844;0
271;73369;2021-01-02 12:27:55;197;3;271;5;2;3;29726;5646;0
272;45313;2021-01-02 21:00:13;219;3;272;2;2;2;5799;1101;0
273;8178;2021-01-02 15:15:57;456;1;273;8;2;2;68031;12923;558
274;43306;2021-01-02 20:30:10;357;4;274;3;2;1;11430;2171;0
275;68811;2021-01-02 11:38:01;193;2;275;3;1;2;39382;7482;0
276;46590;2021-01-02 20:43:08;122;7;276;1;1;3;20925;3975;0
277;41860;2021-01-02 20:39:18;239;2;277;3;2;1;7941;1508;0
278;65040;2021-01-02 15:33:14;364;2;278;1;1;1;2781;528;0
279;73499;2021-01-02 13:00:54;209;10;279;5;2;2;56758;10782;0
280;7488;2021-01-02 17:06:57;274;1;280;8;2;2;36180;6871;0
281;6704;2021-01-02 13:31:02;275;4;281;4;1;1;7375;1400;514
282;22818;2021-01-02 12:23:19;279;6;282;4;1;1;36855;7000;1863
283;2128;2021-01-02 18:15:47;187;2;283;9;1;3;58840;11175;1833
284;48880;2021-01-02 17:16:44;52;3;284;5;2;3;21782;4136;0
285;62617;2021-01-02 21:29:05;121;5;285;4;2;3;16866;3203;0
286;23243;2021-01-02 15:32:45;433;6;286;2;2;2;7017;1332;0
287;52559;2021-01-02 15:21:04;203;5;287;5;1;3;22813;4333;473
288;16262;2021-01-02 17:28:48;345;3;288;2;1;2;5402;1025;0
289;37933;2021-01-02 18:49:49;23;2;289;6;1;3;35080;6663;0
290;87316;2021-01-02 18:42:24;107;3;290;4;1;1;25651;4871;138
291;81952;2021-01-02 14:17:49;264;3;291;6;2;1;38721;7354;0
292;74604;2021-01-02 11:53:16;417;1;292;3;1;3;22601;4292;0
293;78272;2021-01-02 18:32:19;317;7;293;6;2;2;64989;12344;1656
294;90470;2021-01-02 18:32:31;302;1;294;7;1;3;37057;7036;101
295;47843;2021-01-02 14:08:35;436;1;295;1;1;1;3139;596;0
296;78834;2021-01-02 18:19:28;302;6;296;1;2;1;3156;599;315
297;37478;2021-01-02 10:26:33;434;1;297;1;1;3;346;65;51
298;89379;2021-01-02 17:08:39;295;2;298;7;2;2;32900;6248;0
299;22727;2021-01-02 11:43:11;400;2;299;4;1;1;56586;10750;0
300;33368;2021-01-02 15:42:23;236;3;300;2;2;2;5725;1087;0
301;66333;2021-01-02 20:57:31;349;11;301;1;1;3;2513;477;0
302;69852;2021-01-02 12:48:19;309;4;302;2;2;2;4851;921;23
303;90107;2021-01-02 20:23:41;106;3;303;2;2;3;16153;3068;0
304;54497;2021-01-02 14:20:28;30;7;304;8;2;3;63418;12047;0
305;42554;2021-01-02 12:14:23;175;5;305;3;1;3;10046;1907;0
306;61243;2021-01-02 21:08:20;179;7;306;1;2;1;3051;579;0
307;4620;2021-01-02 19:49:08;129;2;307;4;1;2;38182;7252;0
308;93776;2021-01-02 12:55:07;12;1;308;1;1;1;5229;993;0
309;38593;2021-01-02 12:22:26;441;5;309;4;2;2;25217;4789;0
310;16117;2021-01-02 18:49:06;344;2;310;2;2;2;28480;5410;0
311;15210;2021-01-02 19:51:54;20;3;311;5;1;1;38847;7378;930
312;59978;2021-01-02 19:28:14;320;4;312;4;2;2;26094;4955;0
313;45382;2021-01-02 09:19:11;33;2;313;1;2;2;13304;2527;0
314;42553;2021-01-02 17:39:14;116;3;314;3;1;1;13199;2506;0
315;10224;2021-01-02 14:57:14;73;3;315;2;2;2;17429;3310;0
316;27049;2021-01-02 12:32:55;137;3;316;3;2;2;20365;3868;781
317;52031;2021-01-02 10:07:28;134;3;317;5;1;1;20595;3912;71
318;92704;2021-01-02 10:33:42;385;3;318;4;1;3;24659;4683;0
319;86901;2021-01-02 13:43:51;485;11;319;2;1;2;5216;990;0
320;41426;2021-01-02 14:23:52;320;4;320;3;2;2;23790;4519;0
321;31911;2021-01-02 15:26:35;149;3;321;2;1;2;5553;1054;0
322;24862;2021-01-02 19:24:48;122;4;322;5;1;1;31858;6050;1593
323;71206;2021-01-02 20:14:54;499;7;323;1;1;2;588;111;0
324;93392;2021-01-02 10:29:11;347;5;324;2;1;2;22252;4227;0
325;67459;2021-01-02 18:32:55;355;4;325;7;2;3;81412;15465;0
326;14554;2021-01-02 14:27:29;292;5;326;3;1;2;28112;5340;0
327;69869;2021-01-02 09:57:09;412;4;327;6;2;3;52885;10045;0
328;44717;2021-01-02 13:49:39;93;5;328;9;1;3;54929;10433;0
329;4916;2021-01-02 17:56:35;234;4;329;2;1;1;14160;2689;0
330;22798;2021-01-02 12:56:24;474;2;330;1;2;1;11673;2217;0
331;30611;2021-01-02 17:15:21;436;1;331;1;2;3;29380;5582;0
332;98740;2021-01-02 21:15:52;479;2;332;2;1;2;25202;4787;1239
333;55279;2021-01-02 20:17:05;131;4;333;3;2;1;6275;1191;0
334;80784;2021-01-02 12:08:00;184;10;334;6;2;1;60524;11496;0
335;50888;2021-01-02 10:00:00;275;1;335;1;1;3;1519;288;0
336;59795;2021-01-02 11:57:35;247;7;336;2;2;2;15277;2901;0
337;13573;2021-01-02 08:43:13;273;6;337;2;2;2;3676;697;0
338;51849;2021-01-02 21:02:46;366;2;338;4;2;3;23911;4542;0
339;804;2021-01-02 12:55:06;332;8;339;8;1;1;57291;10881;1653
340;13164;2021-01-02 12:39:08;454;2;340;4;1;2;13243;2514;425
341;28037;2021-01-02 10:12:57;334;2;341;3;2;3;69514;13207;0
342;92363;2021-01-02 13:35:43;391;1;342;1;2;1;1422;270;0
343;46699;2021-01-02 15:47:53;422;1;343;7;1;3;54302;10314;0
344;1338;2021-01-02 15:54:05;100;1;344;6;1;2;25190;4783;0
345;15260;2021-01-02 16:43:26;281;3;345;4;1;1;76567;14546;0
346;54692;2021-01-02 13:40:49;320;4;346;2;1;2;5188;985;0
347;70934;2021-01-02 09:35:29;301;2;347;1;2;3;38315;7279;0
348;16835;2021-01-02 11:52:50;207;9;348;6;1;1;29628;5627;941
349;1507;2021-01-02 12:05:02;148;1;349;7;2;2;39421;7486;0
350;87356;2021-01-02 20:53:52;47;7;350;11;2;2;87444;16610;0
351;49565;2021-01-02 15:11:14;199;2;351;3;2;3;66078;12553;0
352;82164;2021-01-02 14:06:37;245;2;352;4;2;2;28719;5455;2489
353;96601;2021-01-02 09:18:52;148;3;353;9;1;2;91736;17424;962
354;73331;2021-01-02 20:29:09;255;1;354;3;2;1;5883;1116;21
355;99743;2021-01-02 13:45:39;208;2;355;9;1;3;69384;13179;439
356;21451;2021-01-02 18:17:04;159;1;356;7;2;2;80621;15315;0
357;88327;2021-01-02 16:41:35;183;5;357;2;2;2;22274;4231;0
358;1674;2021-01-02 20:46:12;403;3;358;8;1;2;65052;12355;0
359;23280;2021-01-02 17:08:46;440;1;359;5;2;1;56039;10644;3242
360;62642;2021-01-02 20:59:07;32;5;360;2;1;2;12387;2353;0
361;20127;2021-01-02 13:41:46;211;1;361;3;1;2;28520;5417;0
362;16047;2021-01-02 14:27:32;237;1;362;1;1;1;7898;1500;0
