NAME;FRECUENCY;MEAN_AGE;GEN
LUISA;51443;64,9;F
CELIA;50695;33,4;F
GLORIA;50566;52,5;F
OLGA;49850;42,6;F
DANIELA;49724;13,4;F
AURORA;48748;58;F
ESPERANZA;47852;58,5;F
MARIA SOLEDAD;47654;53,2;F
ALEJANDRA;47618;23,4;F
MILAGROS;46939;61,3;F
JOSEFINA;46844;65,7;F
MARIA CRISTINA;46370;46,3;F
FATIMA;45627;34,2;F
AINHOA;45350;16,1;F
VIRGINIA;44996;38,1;F
MARIA LUZ;44309;55,9;F
CLARA;44169;28,8;F
PURIFICACION;43741;63,2;F
VANESA;43214;30,6;F
ANNA;42648;28,8;F
LOURDES;42357;45;F
BEGOÑA;39367;45,7;F
ISABEL MARIA;38635;39,7;F
MARIA BELEN;38623;43,4;F
MARTINA;38244;19,6;F
ESTEFANIA;38133;28,8;F
BLANCA;38069;28,3;F
MAGDALENA;37731;60,4;F
ADRIANA;37368;18,2;F
ELISA;37260;48,8;F
MARIA BEGOÑA;36639;54,2;F
MARIA ASUNCION;36557;57,5;F
ASUNCION;36276;65,1;F
VICENTA;36132;69,4;F
MATILDE;36034;64,4;F
ARACELI;35816;55,8;F
GEMA;35679;32,3;F
MARIA PAZ;35510;55,1;F
REMEDIOS;35307;62,5;F
BELEN;34567;31,5;F
MARIA LOURDES;34340;51,8;F
TRINIDAD;34280;64,3;F
MARIA ESTHER;34061;50,2;F
ELVIRA;33959;59,2;F
SOLEDAD;33526;58,2;F
NATIVIDAD;33176;62,6;F
TAMARA;32974;26,3;F
VANESSA;31297;30,8;F
PALOMA;31223;36,3;F
GEMMA;31222;34,7;F
ASCENSION;31114;64,3;F
REBECA;30894;27,2;F
MARIA CRUZ;30787;57,2;F
ALMUDENA;30464;31,9;F
FELISA;30003;70,6;F
LAIA;29882;14,4;F
MIREIA;29733;23;F
MARIA INMACULADA;29492;45,7;F
NIEVES;29382;59,7;F
RAFAELA;28986;63,1;F
NOEMI;28762;27,5;F
MARIA AMPARO;28280;51,1;F
ADELA;28231;59,4;F
TANIA;27508;23,6;F
MARIA EUGENIA;27391;46,4;F
AMALIA;26397;59,2;F
AMELIA;26062;60,9;F
JESSICA;25973;25,4;F
ARIADNA;25958;12;F
JUANA MARIA;25274;49,7;F
RAMONA;25066;67,1;F
DIANA;24948;25,5;F
EMMA;24912;16,9;F
MARIA ROCIO;24416;38,1;F
CARMEN MARIA;24400;33,9;F
CARLOTA;24281;16,7;F
JOAQUINA;23932;67;F
AITANA;23821;7,7;F
LEONOR;23607;59,3;F
VALERIA;23231;8,6;F
LEIRE;22704;15,8;F
PETRA;22000;69,4;F
MARIANA;21953;46,6;F
BARBARA;21934;37,9;F
GUADALUPE;21792;53,7;F
LETICIA;21597;28,8;F
VALENTINA;21546;37,8;F
ELISABET;21498;31,8;F
JULIANA;21308;66,2;F
AINARA;21307;13;F
NOA;21040;5,4;F
CECILIA;20937;47,5;F
AGUSTINA;20621;65,2;F
ROSALIA;20315;58,8;F
MARIA MAGDALENA;20258;51,2;F
JUDITH;20184;21,7;F
LARA;19887;17;F
MARIA ENCARNACION;19851;56,2;F
ESTER;19789;35,2;F
JENNIFER;19429;23,4;F
SHEILA;19360;21;F
ESTRELLA;19136;48,9;F
ADORACION;19106;63,1;F
AROA;18935;14,3;F
JUDIT;18906;23,2;F
MARIA FRANCISCA;18887;56,2;F
GABRIELA;18547;30,5;F
BERTA;18452;26,5;F
ALEXANDRA;17713;23,5;F
SORAYA;17644;26,7;F
RUTH;17440;29,2;F
MARIA MONTSERRAT;17327;51,4;F
MARIA GLORIA;17118;57,1;F
MARIA YOLANDA;17042;47,3;F
MARIA MILAGROS;17007;58,3;F
CANDELA;16982;8,7;F
HELENA;16905;19,3;F
MARIA CONSUELO;16836;56,5;F
EUGENIA;16026;60;F
NADIA;15635;23,3;F
AIDA;15551;27,5;F
EULALIA;15452;61,6;F
ERIKA;15374;17,4;F
HERMINIA;15162;66,5;F
NAIARA;15045;14,3;F
ENRIQUETA;14721;68,5;F
MARIA REMEDIOS;14499;53,2;F
ELISABETH;14389;31,4;F
NORA;14335;12,6;F
MARIA REYES;14147;47,8;F
ESTELA;14112;24,4;F
PAOLA;14019;16;F
MACARENA;13889;27,5;F
ELSA;13626;22;F
MARIA ARANZAZU;13403;48,3;F
TATIANA;13386;29,4;F
PIEDAD;13312;64;F
MAR;13303;11,9;F
GREGORIA;13285;70,7;F
YAIZA;13244;15,8;F
FLORENTINA;13243;63,1;F
MARIA TRINIDAD;13022;49,2;F
AMAIA;12955;28,7;F
AINA;12883;11,6;F
SARAY;12829;17,1;F
MARIA ESPERANZA;12728;52,6;F
AURELIA;12690;66,2;F
ARANZAZU;12689;36,3;F
AFRICA;12547;27,2;F
JIMENA;12530;7,6;F
ITZIAR;12445;28,6;F
LOLA;12438;8,1;F
MIRIAN;12286;26,7;F
AMANDA;12212;22,4;F
JOANA;12162;33,7;F
CANDIDA;12111;67,7;F
MAITE;11906;34,1;F
LEYRE;11646;11,2;F
ANA ROSA;11107;45,8;F
SAGRARIO;11064;64,2;F
MERCE;11036;54,1;F
CARIDAD;10936;60,1;F
RITA;10772;52;F
ANTONIA MARIA;10734;47,8;F
MERITXELL;10679;29;F
DESIREE;10582;20,7;F
IRIA;10572;15,2;F
IRIS;10500;17,2;F
ANE;10439;14,7;F
MARIA SOL;10401;49,3;F
KHADIJA;10343;32,3;F
TOMASA;10173;71,3;F
MARIA JULIA;10164;53,7;F
AGUEDA;10163;54,8;F
MARIA MANUELA;10137;59,5;F
NEUS;10122;30,3;F
TEODORA;10081;67,6;F
MARIA INES;10006;50,6;F
FELICIDAD;10001;66,8;F
ROSER;9941;51;F
ADELINA;9903;64,1;F
MARIA FERNANDA;9875;43,2;F
CONSOLACION;9871;59,4;F
LYDIA;9827;25,8;F
ELIZABETH;9776;34,2;F
BENITA;9739;69,9;F
VIOLETA;9655;27,5;F
MARIA GRACIA;9621;53,2;F
ALBA MARIA;9598;19,6;F
ESMERALDA;9593;38,2;F
MARIA ASCENSION;9550;56,4;F
CARME;9519;59,2;F
FILOMENA;9501;70,1;F
OLIVIA;9478;19,7;F
MARIA CANDELARIA;9468;51,9;F
HORTENSIA;9424;67,6;F
AMAYA;9314;33,9;F
CANDELARIA;9301;61,1;F
ELOISA;9254;59,5;F
MARIA DOLORS;9190;59,2;F
ANA CRISTINA;9169;37;F
MARIA PURIFICACION;9064;60,4;F
ADELAIDA;9061;60,2;F
MARIA CARME;8856;56,3;F
MARCELINA;8748;70,6;F
ANNA MARIA;8606;49,3;F
MARIA SAGRARIO;8575;58,6;F
GISELA;8450;19,2;F
FLORA;8413;65,7;F
AZUCENA;8395;44,6;F
MARIA AURORA;8298;54,5;F
VISITACION;8292;68,6;F
ELIA;8230;32,6;F
ANGELA MARIA;8216;37,6;F
MARIA PINO;8177;55,1;F
MICAELA;8168;58,6;F
JENIFER;8119;24;F
ELENA MARIA;8116;36,3;F
IRINA;8114;29,4;F
ANABEL;8106;25,2;F
MONSERRAT;8095;44,9;F
NAYARA;8087;8,2;F
FERNANDA;8069;62,1;F
ESTIBALIZ;7989;31,7;F
MARIA BLANCA;7930;56;F
IRATI;7794;12,3;F
REGINA;7769;55,6;F
SALMA;7743;8,9;F
NAZARET;7742;18,2;F
MARIA AUXILIADORA;7683;46,4;F
YASMINA;7681;19,1;F
FUENSANTA;7649;56,7;F
EDURNE;7634;26,7;F
PAULINA;7607;61,6;F
ABRIL;7581;6,5;F
ZAIRA;7565;13,6;F
LUISA MARIA;7561;44,7;F
ROSA ANA;7536;41,6;F
AVELINA;7516;69,5;F
JANA;7515;12,3;F
AICHA;7420;40,3;F
DELIA;7395;45,8;F
MARIA SOCORRO;7389;62,9;F
MARIA PALOMA;7386;50,7;F
MARIA VALLE;7352;48,1;F
MARTA MARIA;7319;38,6;F
NAIMA;7291;35,2;F
VIRTUDES;7240;65,1;F
MARIA GUADALUPE;7213;50,5;F
FLORENCIA;7185;65,3;F
SALVADORA;7134;64,7;F
MARIA LUCIA;7133;47,4;F
ARANTXA;7096;25;F
DOLORS;7029;67,4;F
MARIA ESTRELLA;7018;53,6;F
MARIA GEMA;6998;42,6;F
SEBASTIANA;6978;66,2;F
DELFINA;6976;68;F
VERA;6968;12,2;F
LAURA MARIA;6956;29,1;F
AINOA;6948;16,3;F
INMACULADA CONCEPCION;6938;38,9;F
MARIA DESAMPARADOS;6898;54,6;F
LUNA;6874;10,9;F
ALEXIA;6862;11,1;F
GENOVEVA;6845;60,3;F
MARIONA;6762;15,7;F
ANGELICA;6752;40,7;F
FELIPA;6728;71,9;F
MARIA ELISA;6691;52,5;F
JUSTA;6687;71;F
MARISOL;6679;45,8;F
PATROCINIO;6656;69,4;F
FABIOLA;6636;36,8;F
MARIA SONIA;6627;42,7;F
INES MARIA;6601;42;F
LUZ MARIA;6581;39,2;F
SAMIRA;6580;27,2;F
JESICA;6577;27,5;F
JESUSA;6571;73,5;F
MARIA ANGELS;6558;53,3;F
AYA;6552;6,2;F
ANGELINA;6519;60,1;F
MARIA CINTA;6516;56,2;F
MARIAM;6490;15,3;F
INGRID;6487;26,6;F
YANIRA;6485;12,2;F
ALFONSA;6482;66,4;F
IDOIA;6463;35,1;F
MARIA OLGA;6462;54,3;F
SABINA;6458;53,1;F
MARIA VICENTA;6392;55,6;F
AUREA;6366;65,3;F
CORAL;6352;22,2;F
MARIA NATIVIDAD;6327;59,2;F
LILIANA;6316;38,1;F
PALMIRA;6265;66,5;F
ISIDORA;6249;68,4;F
LORENZA;6231;68,7;F
MIREYA;6211;20,6;F
MARIA ANGELA;6180;57,1;F
OBDULIA;6130;68,3;F
IRATXE;6024;27,1;F
ROSANA;6000;33,9;F
IZASKUN;5998;36,4;F
MAIDER;5992;22,5;F
DESAMPARADOS;5990;63;F
MIHAELA;5978;35;F
NAGORE;5947;21,6;F
CARMEN ROSA;5878;50,8;F
MALIKA;5878;44,4;F
MARIA BEATRIZ;5854;43,8;F
MARIA ANGUSTIAS;5842;54,5;F
REYES;5839;45,4;F
VEGA;5822;5,8;F
GRACIA;5806;58,9;F
MARIA ARACELI;5787;50,4;F
DIONISIA;5780;71;F
ALMA;5779;8,4;F
MARA;5774;10,8;F
MARIA FATIMA;5765;45,3;F
BRIGIDA;5752;64,2;F
JACINTA;5698;68,7;F
AMINA;5642;29,2;F
FATIHA;5635;38,6;F
DEBORA;5626;27,3;F
MODESTA;5609;70,1;F
GEORGINA;5579;33,4;F
EVANGELINA;5576;63;F
MARIA JUANA;5572;63,2;F
RUFINA;5519;71;F
NAHIA;5466;7,6;F
AZAHARA;5462;18,8;F
MARIA PIEDAD;5458;56,2;F
BIENVENIDA;5448;65,1;F
ANGUSTIAS;5427;66,8;F
TERESA JESUS;5374;52,7;F
MAIALEN;5369;15,5;F
CLOTILDE;5334;68,4;F
NAIA;5327;7,5;F
ANASTASIA;5324;51;F
OTILIA;5307;67,8;F
DAVINIA;5293;25,9;F
SOCORRO;5291;68,3;F
URSULA;5287;45,9;F
SONIA MARIA;5270;38,4;F
EMILIANA;5246;71;F
MARIA ALEJANDRA;5221;33,6;F
GERTRUDIS;5216;64,8;F
JOSEFA MARIA;5200;53,9;F
RACHIDA;5176;39,6;F
BALBINA;5164;69,3;F
DOMINGA;5161;67,6;F
OLGA MARIA;5064;42,3;F
MARIA NURIA;5045;49,7;F
MARIA AZUCENA;5003;50,7;F
KARIMA;4993;32,3;F
NAROA;4944;11,3;F
UXUE;4938;10,4;F
ANTIA;4922;13,1;F
JUNE;4915;12;F
SARAI;4875;22,5;F
MYRIAM;4770;31;F
MARIA RAQUEL;4750;47,4;F
MARIA CONSOLACION;4741;58,9;F
CRISTINA MARIA;4729;32,5;F
MARCELA;4717;49,7;F
LAILA;4691;24,8;F
ANAIS;4676;15,8;F
FELICIANA;4675;69,7;F
ERICA;4653;24;F
EUSEBIA;4624;72,2;F
MARIA ELVIRA;4614;52,8;F
FRANCESCA;4590;52;F
GLORIA MARIA;4586;42,3;F
IGNACIA;4582;70,5;F
MARIBEL;4579;43,8;F
LINA;4572;30,6;F
SAIDA;4565;35,5;F
FELICITAS;4556;71,9;F
ZOE;4534;7,6;F
ILUMINADA;4524;65,7;F
COVADONGA;4522;39,5;F
VICTORINA;4497;73,8;F
MARIA EVA;4480;48,2;F
MARIA LAURA;4476;42,1;F
MELANIA;4467;26,5;F
MARIA PRADO;4453;50,1;F
ENGRACIA;4448;70,4;F
MARIA SALUD;4446;53,3;F
PRESENTACION;4444;69;F
MINERVA;4431;24;F
YASMIN;4421;10,4;F
INOCENCIA;4419;70;F
MIREN;4412;34;F
ONA;4408;7,8;F
EIDER;4387;18;F
GUILLERMINA;4385;61,6;F
MARIA ALICIA;4374;53,6;F
SILVIA MARIA;4351;36;F
CAYETANA;4347;22,1;F
NICOLASA;4346;70;F
OLATZ;4304;26,6;F
SANDRA MARIA;4267;33,7;F
BOUCHRA;4265;31,3;F
SALUD;4264;61,8;F
FAUSTINA;4255;70,2;F
MARIA ALMUDENA;4248;43,1;F
MARIA MERCE;4240;52,4;F
OLIVA;4238;67;F
HANANE;4235;29,9;F
JULIA MARIA;4233;42,5;F
NICOLE;4214;17,1;F
MAITANE;4210;21,8;F
GEMA MARIA;4205;33,4;F
LUZ MARINA;4197;46,5;F
CINTIA;4174;21,2;F
MARIA FE;4170;53,7;F
SARA MARIA;4158;29,6;F
SATURNINA;4147;73;F
MARIA CELIA;4145;56,1;F
UXIA;4123;10,7;F
VICTORIA EUGENIA;4123;40,3;F
LATIFA;4098;38,6;F
FERMINA;4094;69,6;F
CELESTINA;4069;69,8;F
SAMARA;4062;12,9;F
MARIA EMILIA;4049;51,6;F
PAULA MARIA;4025;25,6;F
FRANCISCA MARIA;4021;47,2;F
SACRAMENTO;4016;63,8;F
ICIAR;4014;32,2;F
SERAFINA;4006;67,9;F
ANA CARMEN;4004;45,5;F
LORETO;3994;39,8;F
MALAK;3971;4,7;F
MARIA MARGARITA;3969;54,4;F
ALINA;3968;28;F
ELISA ISABEL;3965;40,6;F
RUT;3961;27;F
CAMILA;3940;36,3;F
CONCEPCIO;3893;68,8;F
SAIOA;3872;22,4;F
PASTORA;3856;57,7;F
CLARA ISABEL;3847;42,4;F
XENIA;3837;16,4;F
BASILISA;3823;73,1;F
PASCUALA;3775;69,8;F
PAZ;3769;55,1;F
MARIA FELISA;3758;57,8;F
GRACIELA;3696;39,9;F
BIBIANA;3672;45,1;F
SOUAD;3656;34,2;F
MARAVILLAS;3635;56,6;F
BENEDICTA;3626;70,7;F
SABRINA;3625;24,2;F
LUZ;3615;53;F
NICOLETA;3615;34,8;F
ZAIDA;3597;22,5;F
JACQUELINE;3596;41,2;F
OIHANE;3589;17,5;F
MARIA SANDRA;3564;39,4;F
HAIZEA;3540;11,3;F
HAFIDA;3518;40;F
CASILDA;3512;62,5;F
SARAH;3508;19,2;F
MARIA ADELA;3501;53,3;F
IOANA;3495;41,5;F
AMAL;3492;22,2;F
SALOME;3483;39,8;F
JERONIMA;3473;66,9;F
MARIA SUSANA;3468;45,9;F
MARIA EULALIA;3464;52,9;F
SIMONA;3455;46,1;F
THAIS;3442;19,8;F
MARIA VANESA;3404;34,7;F
NAJAT;3392;36,2;F
DESIRE;3388;20;F
CELSA;3374;68,5;F
CLEMENTINA;3373;68,9;F
ENCARNACIO;3359;68,3;F
CLARA MARIA;3352;36,1;F
HAJAR;3352;14;F
JANIRE;3343;21,6;F
TRIANA;3339;7,1;F
EVELYN;3324;21;F
MARIA CECILIA;3317;47,9;F
OFELIA;3301;64;F
IRUNE;3294;20,3;F
ZOHRA;3288;46,5;F
ANUNCIACION;3270;71,4;F
VICTORIANA;3266;72,5;F
ELISENDA;3243;38;F
LUCIANA;3239;53,5;F
IKRAM;3221;19,3;F
CYNTHIA;3216;20,9;F
IMAN;3194;12,6;F
MARIA ESTER;3194;44,3;F
AITZIBER;3171;31,5;F
NAYRA;3156;16,2;F
MARIA LORENA;3155;35,8;F
DINA;3152;22;F
MARIA AMOR;3134;53,4;F
YESICA;3132;27,1;F
KAREN;3127;23,8;F
ELOINA;3119;68,2;F
ROSA ISABEL;3117;46,1;F
BERNARDA;3116;67,3;F
ZAHRA;3109;39,3;F
NELIDA;3092;56,4;F
FLORINDA;3085;68,3;F
MARIA VIRGINIA;3079;44,7;F
IZARO;3077;9,9;F
YURENA;3076;27;F
MARIA OLIVA;3075;56;F
LIA;3073;11,8;F
NINA;3062;35,4;F
OLAYA;3059;21,6;F
SABELA;3059;14,2;F
MARIA CAMINO;3058;50,4;F
MARIA CLARA;3056;50,9;F
PRIMITIVA;3051;72,7;F
TERESA MARIA;3050;45,8;F
MARIYA;3033;44,3;F
HAYAT;3030;30,5;F
MARIA ESTELA;3015;41;F
SIHAM;3008;24,7;F
JAMILA;2996;36,4;F
HENAR;2992;22,9;F
BLANCA MARIA;2973;38,2;F
ISOLINA;2973;71;F
DAMARIS;2971;25,1;F
FATIMA ZAHRA;2954;17,5;F
DULCE MARIA;2948;45,4;F
NATALIYA;2946;41,4;F
MAXIMA;2944;70,6;F
OLALLA;2941;29,5;F
SUSANA MARIA;2941;40,7;F
GARAZI;2939;15,5;F
ADA;2938;16,9;F
LUCRECIA;2925;60,4;F
NEKANE;2916;28,7;F
ARIANA;2911;16,3;F
MELANIE;2904;20,7;F
DUNIA;2898;19,5;F
FIDELA;2898;72,2;F
MARIA VISITACION;2896;62,9;F
PAMELA;2894;32,2;F
MARIA GEMMA;2890;45,5;F
MARWA;2886;5,2;F
ALICIA MARIA;2883;37,1;F
CARMELA;2883;46,1;F
ANA TERESA;2876;45,1;F
MARIA AGUSTINA;2872;55,8;F
SONSOLES;2871;40,9;F
BELINDA;2870;33,9;F
SVETLANA;2864;42,8;F
FATNA;2863;47,6;F
MARIA CATALINA;2858;52,6;F
ARANCHA;2857;19,6;F
HANAN;2857;28,7;F
JONE;2852;22,8;F
ARANTZA;2845;43,3;F
MAXIMINA;2841;70,7;F
YESSICA;2838;25,6;F
JUSTINA;2836;69,4;F
MINA;2833;40,8;F
ELISA MARIA;2831;39,8;F
BRENDA;2823;24,7;F
IRYNA;2821;38,6;F
IMANE;2808;19,1;F
MELISA;2804;22,6;F
MARIA AMELIA;2803;57,5;F
MARIA LORETO;2801;50,5;F
MARIA LEONOR;2799;51,6;F
MARIA VIRTUDES;2788;53,4;F
MARIA ADORACION;2781;60,1;F
SIRA;2774;30,7;F
EDELMIRA;2765;69,4;F
BASILIA;2761;67;F
ELADIA;2761;69,5;F
CHLOE;2754;4,6;F
MARIA ANGELICA;2751;47,3;F
LUISA FERNANDA;2749;39,4;F
VIORICA;2744;46,1;F
ANNE;2739;25,1;F
CARMEN DOLORES;2732;48,9;F
IVET;2728;8,5;F
ESTHER MARIA;2726;37,2;F
MARIA LLANOS;2724;48,5;F
HALIMA;2712;35,6;F
FATIMA ZOHRA;2708;27,5;F
CRISTOBALINA;2706;61,1;F
MARIA GABRIELA;2689;37,1;F
MARIA SALOME;2687;51,6;F
ISIDRA;2677;70,1;F
LEILA;2667;23,2;F
MARIA SANTOS;2665;58,9;F
RITA MARIA;2657;44,1;F
MARIA O;2655;42,9;F
APOLONIA;2646;66,9;F
CARMEN DELIA;2646;47,8;F
OKSANA;2639;38,9;F
ARGENTINA;2632;68,9;F
DIANA MARIA;2620;32,4;F
JULIETA;2619;19,8;F
RAQUEL MARIA;2619;35,9;F
MARIA SIERRA;2618;51,2;F
MARIA IRENE;2615;48,6;F
RAHMA;2610;48;F
ARANTZAZU;2606;34,4;F
ANA LUISA;2605;45,7;F
FELICIA;2598;57,8;F
ANA LUCIA;2590;33,3;F
MIGUELA;2572;67;F
ANA PILAR;2570;41,3;F
BERNARDINA;2570;68,3;F
MARIA FLOR;2560;54,6;F
ABIGAIL;2555;21,5;F
MARIA COVADONGA;2550;52,2;F
LUCILA;2541;62,9;F
MARIA FUENSANTA;2541;48,8;F
PRUDENCIA;2541;70,8;F
DOROTEA;2530;69,8;F
ANGELITA;2525;67,3;F
CATERINA;2519;31,7;F
MICHELLE;2513;19,7;F
MARIA MONSERRAT;2510;48,6;F
ISABELLA;2509;9,9;F
GALA;2505;13,9;F
KARINA;2504;27,9;F
TEOFILA;2504;74,2;F
PATRICIA MARIA;2502;31,5;F
OLAIA;2483;17,9;F
OLIMPIA;2481;56;F
ALAZNE;2474;20,6;F
JARA;2469;14,1;F
NARCISA;2469;66,9;F
RODICA;2469;44,6;F
OLENA;2449;40,1;F
PRISCILA;2449;37,4;F
DOLORES MARIA;2444;46,8;F
MARIA ANA;2443;55,8;F
MELISSA;2430;19,8;F
NAOMI;2428;14,7;F
MARIA LLUISA;2425;59,7;F
MILAGROSA;2413;48,5;F
MARIA ALBA;2400;41,6;F
ANA VICTORIA;2398;35,4;F
ROSARIO MARIA;2391;43,9;F
SEGUNDA;2382;72,9;F
NANCY;2379;42;F
MALENA;2371;10,4;F
LUZ DIVINA;2370;54,3;F
MARIA VANESSA;2369;35,5;F
MARIA PAULA;2361;41,9;F
MARIA RITA;2359;55,9;F
HABIBA;2356;46;F
AMADA;2349;62,7;F
EDUARDA;2343;65,9;F
MARIA CARIDAD;2332;52,5;F
EMERITA;2324;69,2;F
MADDI;2322;10,3;F
DORINDA;2321;71,4;F
NAIRA;2321;14,9;F
LOUBNA;2319;26,5;F
ZURIÑE;2318;26,5;F
SELENE;2302;16,8;F
BENIGNA;2293;71,3;F
MARIA MATILDE;2288;55;F
ENARA;2274;12,7;F
GEORGETA;2271;44,9;F
MARIA HENAR;2271;48,9;F
LIBERTAD;2269;31,3;F
MARIA CELESTE;2265;39,6;F
MARIELA;2259;29,7;F
IRAIA;2240;10,2;F
SVITLANA;2238;43,4;F
CARMEN PILAR;2227;46,6;F
BRUNA;2222;15,5;F
MIRELA;2222;34,9;F
DAMIANA;2220;66,4;F
BIANCA;2216;16,5;F
YAMINA;2210;44,8;F
KATIA;2206;26,1;F
LIDIA MARIA;2206;32,3;F
MARGARIDA;2204;56,1;F
ITXASO;2194;25,9;F
MARISA;2194;41,8;F
ANGELS;2190;45,8;F
ROXANA;2188;31;F
MARIA NEUS;2180;48,3;F
RESURRECCION;2177;65,2;F
LOREA;2173;23,6;F
ANITA;2169;55,8;F
AZIZA;2164;34,2;F
TETYANA;2160;42,1;F
IMMACULADA;2148;44,9;F
NURIA MARIA;2148;36,4;F
ERNESTINA;2136;68,6;F
IONELA;2131;31,2;F
LUCIA MARIA;2127;29,7;F
MARIA CANDELAS;2124;64,4;F
ROSALINA;2122;62,1;F
YLENIA;2117;14,7;F
SANTIAGA;2113;68,5;F
ISAURA;2108;62,6;F
MIA;2105;5,6;F
ROSAURA;2101;59,4;F
IRMA;2100;43,7;F
BLANCA NIEVES;2096;58,2;F
MARIA JOAQUINA;2094;59,2;F
MARIA VERONICA;2091;37,1;F
ILHAM;2089;24,6;F
QUERALT;2077;11,7;F
MARIAN;2070;25,9;F
IDAIRA;2069;14,5;F
ZORAIDA;2063;33,5;F
CINTA;2056;52,6;F
FARAH;2056;16,5;F
LUZDIVINA;2056;67,1;F
DIGNA;2054;66,9;F
PETRONILA;2054;67,6;F
MARIA SONSOLES;2053;52,2;F
MARIA NOELIA;2051;36,5;F
MARIA CAROLINA;2046;39,7;F
MARIA RAMONA;2043;59,9;F
GUMERSINDA;2037;71,3;F
MAYA;2033;14,5;F
ALBINA;2029;67,1;F
MIRELLA;2028;22,7;F
MARGALIDA;2027;36,5;F
PLACIDA;2025;67,8;F
ANA BEATRIZ;2020;37,2;F
MARIA AFRICA;2018;52,6;F
DEBORAH;2015;30,3;F
MARIA ENGRACIA;2012;58,2;F
CATALINA MARIA;2011;41,4;F
VALERIANA;2011;72;F
EUFEMIA;2010;71,5;F
HILARIA;2000;71,4;F
JAIONE;1998;34,9;F
GINA;1997;22,4;F
MARIA SORAYA;1997;42;F
OIHANA;1996;27,5;F
SELENA;1984;11,9;F
HIBA;1983;7,5;F
GENEROSA;1978;72,9;F
ANA VANESA;1977;33,7;F
CELIA MARIA;1976;36;F
CLOE;1973;4,7;F
ROMINA;1973;26,7;F
MENCIA;1971;9,2;F
EDUVIGIS;1970;60,8;F
MERIEM;1969;27;F
MIRANDA;1965;11,3;F
MIRYAM;1960;27,1;F
CASIMIRA;1958;71,6;F
MARIOLA;1955;25,8;F
MARLENE;1955;39,7;F
NORMA;1952;43,1;F
ZINEB;1949;28,1;F
SANAE;1948;26,1;F
CARINA;1946;35,3;F
DARIA;1946;39,5;F
CONSTANZA;1939;52,1;F
SAADIA;1930;44,6;F
FE;1925;69,7;F
CONSTANTINA;1924;67,7;F
PAULA ANDREA;1924;28,8;F
MONICA MARIA;1921;37,6;F
GLADYS;1914;46,4;F
GEMMA MARIA;1906;36,8;F
ANA DOLORES;1900;48,7;F
CELESTE;1900;25,3;F
ANGELINES;1898;62,1;F
EULOGIA;1898;70,3;F
